Locality,Type,Rent/Month,Build_up_area(sq.ft),Furnishing,Bathrooms,Balcony,Parking,Carpet_area(sq.ft)
Chembur,2 BHK Apartment,38700,1125 sq.ft,Unfurnished,2,2,1.0,700 sq.ft
Chembur,2 BHK Apartment,43400,1123 sq.ft,Unfurnished,2,1,1.0,720 sq.ft
Chembur,2 BHK Apartment,38000,1126 sq.ft,Unfurnished,2,2,1.0,723 sq.ft
Chembur,2 BHK Apartment,39000,600 sq.ft,Semi Furnished,2,1,1.0,490 sq.ft
Chembur,2 BHK Apartment,40000,800 sq.ft,Semi Furnished,2,1,1.0,600 sq.ft
Chembur,2 BHK Apartment,36000,850 sq.ft,Semi Furnished,2,1,1.0,600 sq.ft
Chembur,2 BHK Apartment,42000,700 sq.ft,Semi Furnished,2,1,1.0,550 sq.ft
Chembur,1 BHK Apartment,11111,1111 sq.ft,Fully Furnished,Missing,Missing,0.0,Missing
Chembur,2 BHK Apartment,42000,700 sq.ft,Semi Furnished,2,1,1.0,550 sq.ft
Chembur,3 BHK Apartment,65000,1290 sq.ft,Semi Furnished,2,1,1.0,1100 sq.ft
Chembur,1 BHK Apartment,33000,590 sq.ft,Unfurnished,1,Missing,1.0,400 sq.ft
Chembur,3 BHK Apartment,50000,1200 sq.ft,Unfurnished,2,1,1.0,1000 sq.ft
Chembur,1 BHK Apartment,29000,600 sq.ft,Unfurnished,1,Missing,1.0,450 sq.ft
Chembur,2 BHK Apartment,38000,1000 sq.ft,Fully Furnished,2,Missing,,700 sq.ft
Chembur,2 BHK Apartment,39000,1150 sq.ft,Unfurnished,2,Missing,1.0,777 sq.ft
Chembur,2 BHK Apartment,38000,1250 sq.ft,Semi Furnished,2,2,2.0,800 sq.ft
Chembur,3 BHK Apartment,47000,1500 sq.ft,Semi Furnished,3,3,2.0,1200 sq.ft
Chembur,2 BHK Apartment,43000,900 sq.ft,Semi Furnished,2,1,1.0,760 sq.ft
Chembur,3 BHK Apartment,62000,1200 sq.ft,Semi Furnished,3,1,1.0,1000 sq.ft
Chembur,2 BHK Apartment,35000,900 sq.ft,Semi Furnished,2,Missing,1.0,750 sq.ft
Chembur,3 BHK Apartment,55000,1100 sq.ft,Unfurnished,2,1,1.0,1000 sq.ft
Chembur,2 BHK Apartment,30000,700 sq.ft,Unfurnished,2,Missing,1.0,600 sq.ft
Chembur,2 BHK Apartment,38000,900 sq.ft,Unfurnished,2,Missing,1.0,700 sq.ft
Chembur,2 BHK Apartment,38000,800 sq.ft,Unfurnished,2,Missing,1.0,700 sq.ft
Chembur,1 BHK Apartment,28900,600 sq.ft,Unfurnished,1,1,2.0,450 sq.ft
Chembur,2 BHK Apartment,36000,1200 sq.ft,Semi Furnished,2,Missing,1.0,700 sq.ft
Chembur,1 BHK Apartment,30000,500 sq.ft,Unfurnished,1,Missing,1.0,400 sq.ft
Chembur,2 BHK Apartment,45000,1000 sq.ft,Unfurnished,2,Missing,1.0,800 sq.ft
Chembur,2 BHK Apartment,52000,900 sq.ft,Semi Furnished,2,Missing,1.0,800 sq.ft
Chembur,1 BHK Apartment,29000,600 sq.ft,Semi Furnished,1,Missing,1.0,450 sq.ft
Chembur,2 BHK Apartment,38000,800 sq.ft,Semi Furnished,2,Missing,1.0,700 sq.ft
Chembur,2 BHK Apartment,47000,600 sq.ft,Semi Furnished,2,Missing,1.0,500 sq.ft
Chembur,3 BHK Apartment,60000,1200 sq.ft,Semi Furnished,2,Missing,1.0,1000 sq.ft
Chembur,2 BHK Apartment,33000,600 sq.ft,Semi Furnished,2,Missing,1.0,400 sq.ft
Chembur,1 BHK Apartment,29000,500 sq.ft,Unfurnished,1,Missing,1.0,400 sq.ft
Chembur,2 BHK Apartment,38000,900 sq.ft,Unfurnished,2,1,1.0,700 sq.ft
Chembur,1 BHK Apartment,30000,600 sq.ft,Unfurnished,1,Missing,1.0,450 sq.ft
Chembur,3 BHK Apartment,55000,1100 sq.ft,Unfurnished,2,Missing,1.0,900 sq.ft
Chembur,2 BHK Apartment,45000,1100 sq.ft,Unfurnished,2,Missing,1.0,850 sq.ft
Chembur,3 BHK Apartment,53000,1000 sq.ft,Unfurnished,3,Missing,1.0,890 sq.ft
Chembur,1 BHK Apartment,28000,600 sq.ft,Unfurnished,1,Missing,1.0,400 sq.ft
Chembur,1 BHK Apartment,30000,600 sq.ft,Unfurnished,1,Missing,1.0,450 sq.ft
Chembur,2 BHK Apartment,42000,700 sq.ft,Unfurnished,2,1,1.0,600 sq.ft
Chembur,3 BHK Apartment,59000,1400 sq.ft,Unfurnished,2,1,1.0,1200 sq.ft
Chembur,1 BHK Apartment,28000,550 sq.ft,Unfurnished,1,Missing,1.0,450 sq.ft
Chembur,2 BHK Apartment,40000,600 sq.ft,Unfurnished,2,1,1.0,500 sq.ft
Chembur,2 BHK Apartment,45000,750 sq.ft,Unfurnished,2,Missing,0.0,Missing
Chembur,1 BHK Apartment,30000,590 sq.ft,Unfurnished,1,Missing,1.0,450 sq.ft
Chembur,1 BHK Apartment,27000,500 sq.ft,Semi Furnished,1,Missing,1.0,390 sq.ft
Chembur,2 BHK Apartment,38000,700 sq.ft,Semi Furnished,2,1,1.0,550 sq.ft
Chembur,3 BHK Apartment,57000,1300 sq.ft,Semi Furnished,2,1,1.0,1100 sq.ft
Chembur,2 BHK Apartment,45000,790 sq.ft,Unfurnished,2,1,1.0,600 sq.ft
Chembur,2 BHK Apartment,52000,900 sq.ft,Semi Furnished,2,1,1.0,800 sq.ft
Chembur,2 BHK Apartment,37000,800 sq.ft,Unfurnished,2,1,1.0,600 sq.ft
Chembur,1 BHK Apartment,32000,700 sq.ft,Semi Furnished,1,Missing,1.0,500 sq.ft
Chembur,2 BHK Apartment,33000,950 sq.ft,Unfurnished,2,1,1.0,650 sq.ft
Chembur,1 BHK Apartment,28000,500 sq.ft,Unfurnished,1,Missing,1.0,400 sq.ft
Chembur,1 BHK Apartment,30000,600 sq.ft,Unfurnished,1,Missing,1.0,450 sq.ft
Chembur,2 BHK Apartment,40000,600 sq.ft,Unfurnished,2,1,1.0,500 sq.ft
Chembur,2 BHK Apartment,33000,800 sq.ft,Semi Furnished,2,Missing,1.0,600 sq.ft
Chembur,1 BHK Apartment,30000,500 sq.ft,Semi Furnished,2,2,0.0,390 sq.ft
Chembur,1 BHK Apartment,28000,500 sq.ft,Unfurnished,1,Missing,1.0,400 sq.ft
Chembur,1 BHK Apartment,25000,500 sq.ft,Unfurnished,1,Missing,1.0,350 sq.ft
Chembur,2 BHK Apartment,40000,900 sq.ft,Unfurnished,2,Missing,1.0,750 sq.ft
Chembur,2 BHK Apartment,39900,1250 sq.ft,Semi Furnished,2,1,2.0,770 sq.ft
Chembur,3 BHK Apartment,58000,1300 sq.ft,Semi Furnished,2,1,1.0,1100 sq.ft
Chembur,1 BHK Apartment,28000,560 sq.ft,Unfurnished,1,Missing,1.0,450 sq.ft
Chembur,1 BHK Apartment,30000,500 sq.ft,Unfurnished,1,Missing,1.0,400 sq.ft
Chembur,3 BHK Apartment,62000,1300 sq.ft,Semi Furnished,2,Missing,1.0,1100 sq.ft
Chembur,2 BHK Apartment,37000,700 sq.ft,Unfurnished,2,Missing,1.0,550 sq.ft
Chembur,3 BHK Apartment,52000,1100 sq.ft,Unfurnished,2,1,1.0,900 sq.ft
Chembur,3 BHK Apartment,50000,1200 sq.ft,Semi Furnished,2,1,1.0,1000 sq.ft
Chembur,2 BHK Apartment,43000,800 sq.ft,Unfurnished,2,Missing,1.0,600 sq.ft
Chembur,3 BHK Apartment,68000,1300 sq.ft,Semi Furnished,2,1,1.0,1100 sq.ft
Chembur,2 BHK Apartment,43000,800 sq.ft,Semi Furnished,2,Missing,1.0,700 sq.ft
Chembur,3 BHK Apartment,59000,1200 sq.ft,Semi Furnished,2,1,1.0,1000 sq.ft
Chembur,2 BHK Apartment,36000,700 sq.ft,Semi Furnished,2,Missing,1.0,590 sq.ft
Chembur,1 BHK Apartment,29000,590 sq.ft,Unfurnished,1,Missing,1.0,450 sq.ft
Chembur,2 BHK Apartment,50000,1000 sq.ft,Unfurnished,2,Missing,1.0,800 sq.ft
Chembur,2 BHK Apartment,50000,900 sq.ft,Semi Furnished,2,Missing,1.0,770 sq.ft
Chembur,3 BHK Apartment,75000,1350 sq.ft,Unfurnished,3,1,1.0,1150 sq.ft
Chembur,3 BHK Apartment,58000,1400 sq.ft,Unfurnished,2,1,1.0,1200 sq.ft
Chembur,1 BHK Apartment,31000,600 sq.ft,Unfurnished,1,Missing,1.0,490 sq.ft
Chembur,2 BHK Apartment,40000,700 sq.ft,Unfurnished,2,1,1.0,500 sq.ft
Chembur,2 BHK Apartment,39000,1250 sq.ft,Semi Furnished,2,2,2.0,800 sq.ft
Chembur,3 BHK Apartment,55000,1200 sq.ft,Semi Furnished,2,1,1.0,1000 sq.ft
Chembur,3 BHK Apartment,75000,1500 sq.ft,Semi Furnished,2,1,1.0,1200 sq.ft
Chembur,2 BHK Apartment,45000,900 sq.ft,Semi Furnished,2,1,1.0,680 sq.ft
Chembur,2 BHK Apartment,55000,1030 sq.ft,Semi Furnished,2,1,1.0,800 sq.ft
Chembur,3 BHK Apartment,74000,1500 sq.ft,Semi Furnished,2,1,1.0,1050 sq.ft
Chembur,3 BHK Apartment,90000,1350 sq.ft,Semi Furnished,2,2,1.0,1050 sq.ft
Chembur,2 BHK Apartment,33000,890 sq.ft,Unfurnished,2,2,2.0,660 sq.ft
Chembur,2 BHK Apartment,33000,890 sq.ft,Unfurnished,2,2,2.0,660 sq.ft
Chembur,2 BHK Apartment,34000,900 sq.ft,Unfurnished,2,2,2.0,670 sq.ft
Chembur,2 BHK Apartment,35000,910 sq.ft,Unfurnished,2,2,2.0,680 sq.ft
Chembur,2 BHK Apartment,35000,910 sq.ft,Unfurnished,2,2,2.0,680 sq.ft
Chembur,2 BHK Apartment,32000,750 sq.ft,Unfurnished,2,2,2.0,650 sq.ft
Chembur,2 BHK Apartment,32000,750 sq.ft,Unfurnished,2,2,2.0,650 sq.ft
Chembur,2 BHK Apartment,33000,760 sq.ft,Unfurnished,2,2,2.0,660 sq.ft
Chembur,2 BHK Apartment,33000,760 sq.ft,Unfurnished,2,2,2.0,660 sq.ft
Chembur,2 BHK Apartment,33000,760 sq.ft,Unfurnished,2,2,2.0,660 sq.ft
Chembur,2 BHK Apartment,34000,770 sq.ft,Unfurnished,2,2,2.0,670 sq.ft
Chembur,2 BHK Apartment,32000,750 sq.ft,Unfurnished,2,2,2.0,650 sq.ft
Chembur,2 BHK Apartment,32000,750 sq.ft,Unfurnished,2,2,2.0,650 sq.ft
Chembur,2 BHK Apartment,33000,760 sq.ft,Unfurnished,2,2,2.0,660 sq.ft
Chembur,2 BHK Apartment,34000,770 sq.ft,Unfurnished,2,2,2.0,670 sq.ft
Chembur,2 BHK Apartment,34000,770 sq.ft,Unfurnished,2,2,2.0,670 sq.ft
Chembur,2 BHK Apartment,34000,770 sq.ft,Unfurnished,2,2,2.0,670 sq.ft
Chembur,2 BHK Apartment,32000,750 sq.ft,Unfurnished,2,2,2.0,650 sq.ft
Chembur,2 BHK Apartment,45000,1000 sq.ft,Unfurnished,2,Missing,1.0,740 sq.ft
Chembur,2 BHK Apartment,40000,970 sq.ft,Semi Furnished,2,Missing,1.0,750 sq.ft
Chembur,1 BHK Apartment,29001,600 sq.ft,Semi Furnished,1,Missing,1.0,420 sq.ft
Chembur,2 BHK Apartment,34000,850 sq.ft,Unfurnished,2,Missing,1.0,630 sq.ft
Chembur,1 BHK Apartment,25000,550 sq.ft,Unfurnished,2,Missing,0.0,385 sq.ft
Chembur,1 BHK Apartment,30000,550 sq.ft,Fully Furnished,2,Missing,0.0,395 sq.ft
Chembur,1 BHK Apartment,27000,695 sq.ft,Semi Furnished,2,Missing,1.0,436 sq.ft
Chembur,2 BHK Apartment,35000,850 sq.ft,Semi Furnished,2,Missing,1.0,625 sq.ft
Chembur,2 BHK Apartment,40000,950 sq.ft,Unfurnished,2,Missing,1.0,700 sq.ft
Chembur,1 BHK Apartment,29000,695 sq.ft,Semi Furnished,2,Missing,0.0,450 sq.ft
Chembur,2 BHK Apartment,37000,950 sq.ft,Semi Furnished,2,Missing,1.0,630 sq.ft
Chembur,2 BHK Apartment,38000,1040 sq.ft,Unfurnished,2,2,2.0,750 sq.ft
Chembur,2 BHK Apartment,40000,1040 sq.ft,Semi Furnished,2,2,2.0,750 sq.ft
Chembur,2 BHK Apartment,40000,1040 sq.ft,Semi Furnished,2,2,2.0,750 sq.ft
Chembur,2 BHK Apartment,41000,1050 sq.ft,Semi Furnished,2,2,2.0,752 sq.ft
Chembur,2 BHK Apartment,41000,1060 sq.ft,Semi Furnished,2,2,2.0,753 sq.ft
Chembur,2 BHK Apartment,38000,1040 sq.ft,Unfurnished,2,2,2.0,750 sq.ft
Chembur,2 BHK Apartment,39000,1050 sq.ft,Unfurnished,2,2,2.0,751 sq.ft
Chembur,2 BHK Apartment,39000,1050 sq.ft,Unfurnished,2,2,2.0,751 sq.ft
Chembur,2 BHK Apartment,40000,1060 sq.ft,Unfurnished,2,2,2.0,753 sq.ft
Chembur,2 BHK Apartment,40000,1040 sq.ft,Semi Furnished,2,2,2.0,750 sq.ft
Chembur,2 BHK Apartment,40000,1050 sq.ft,Semi Furnished,2,2,2.0,752 sq.ft
Chembur,2 BHK Apartment,41000,1050 sq.ft,Semi Furnished,2,2,2.0,752 sq.ft
Chembur,2 BHK Apartment,35000,890 sq.ft,Unfurnished,2,2,2.0,660 sq.ft
Chembur,2 BHK Apartment,35000,800 sq.ft,Unfurnished,2,2,2.0,660 sq.ft
Chembur,2 BHK Apartment,35000,800 sq.ft,Unfurnished,2,2,2.0,660 sq.ft
Chembur,2 BHK Apartment,36000,900 sq.ft,Unfurnished,2,2,2.0,650 sq.ft
Chembur,2 BHK Apartment,36000,900 sq.ft,Unfurnished,2,2,2.0,650 sq.ft
Chembur,2 BHK Apartment,36000,890 sq.ft,Unfurnished,2,2,2.0,620 sq.ft
Chembur,3 BHK Apartment,62000,1450 sq.ft,Fully Furnished,3,Missing,3.0,1050 sq.ft
Chembur,2 BHK Apartment,36000,950 sq.ft,Semi Furnished,2,2,2.0,710 sq.ft
Chembur,2 BHK Apartment,36000,950 sq.ft,Semi Furnished,2,2,2.0,710 sq.ft
Chembur,2 BHK Apartment,37000,960 sq.ft,Semi Furnished,2,2,2.0,720 sq.ft
Chembur,2 BHK Apartment,37000,960 sq.ft,Semi Furnished,2,2,2.0,720 sq.ft
Chembur,3 BHK Apartment,68000,1275 sq.ft,Unfurnished,3,Missing,1.0,1000 sq.ft
Chembur,2 BHK Apartment,36000,950 sq.ft,Semi Furnished,2,2,2.0,710 sq.ft
Chembur,2 BHK Apartment,37000,960 sq.ft,Semi Furnished,2,2,2.0,720 sq.ft
Chembur,3 BHK Apartment,65000,1350 sq.ft,Fully Furnished,3,1,2.0,1100 sq.ft
Chembur,1 BHK Apartment,25000,695 sq.ft,Semi Furnished,2,Missing,1.0,436 sq.ft
Chembur,1 BHK Apartment,25000,695 sq.ft,Semi Furnished,2,Missing,2.0,435 sq.ft
Chembur,1 BHK Apartment,29000,695 sq.ft,Semi Furnished,2,Missing,0.0,430 sq.ft
Chembur,2 BHK Apartment,38000,495 sq.ft,Semi Furnished,2,Missing,1.0,430 sq.ft
Chembur,2 BHK Apartment,42000,1050 sq.ft,Unfurnished,2,Missing,1.0,777 sq.ft
Chembur,1 BHK Apartment,32000,695 sq.ft,Fully Furnished,2,Missing,0.0,450 sq.ft
Chembur,1 BHK Apartment,30000,695 sq.ft,Semi Furnished,2,Missing,0.0,419 sq.ft
Chembur,1 BHK Apartment,32000,695 sq.ft,Fully Furnished,2,Missing,0.0,430 sq.ft
Chembur,1 BHK Apartment,29000,630 sq.ft,Semi Furnished,2,Missing,1.0,400 sq.ft
Chembur,2 BHK Apartment,37000,950 sq.ft,Unfurnished,2,Missing,0.0,680 sq.ft
Chembur,3 BHK Apartment,55000,1250 sq.ft,Fully Furnished,2,Missing,1.0,900 sq.ft
Chembur,3 BHK Apartment,70000,1350 sq.ft,Fully Furnished,3,Missing,1.0,1000 sq.ft
Chembur,2 BHK Apartment,33000,890 sq.ft,Unfurnished,2,2,2.0,660 sq.ft
Chembur,2 BHK Apartment,38000,950 sq.ft,Semi Furnished,2,Missing,1.0,690 sq.ft
Chembur,3 BHK Apartment,70000,1450 sq.ft,Semi Furnished,3,Missing,1.0,950 sq.ft
Chembur,2 BHK Apartment,33000,950 sq.ft,Semi Furnished,2,Missing,1.0,700 sq.ft
Chembur,2 BHK Apartment,50000,1050 sq.ft,Fully Furnished,2,Missing,1.0,760 sq.ft
Chembur,1 BHK Apartment,31000,600 sq.ft,Semi Furnished,1,1,0.0,450 sq.ft
Chembur,2 BHK Apartment,38000,950 sq.ft,Unfurnished,2,2,2.0,710 sq.ft
Chembur,2 BHK Apartment,38000,950 sq.ft,Unfurnished,2,2,2.0,710 sq.ft
Chembur,2 BHK Apartment,39000,960 sq.ft,Semi Furnished,2,2,2.0,715 sq.ft
Chembur,2 BHK Apartment,38000,950 sq.ft,Unfurnished,2,2,2.0,710 sq.ft
Chembur,2 BHK Apartment,39000,960 sq.ft,Semi Furnished,2,2,2.0,715 sq.ft
Chembur,2 BHK Apartment,39000,960 sq.ft,Semi Furnished,2,2,2.0,720 sq.ft
Chembur,2 BHK Apartment,39000,960 sq.ft,Semi Furnished,2,2,2.0,720 sq.ft
Chembur,2 BHK Apartment,40000,970 sq.ft,Semi Furnished,2,2,,725 sq.ft
Chembur,3 BHK Apartment,89000,1550 sq.ft,Semi Furnished,2,2,2.0,1250 sq.ft
Chembur,3 BHK Apartment,128000,1550 sq.ft,Semi Furnished,2,2,2.0,1200 sq.ft
Chembur,2 BHK Apartment,62000,1020 sq.ft,Semi Furnished,2,1,1.0,800 sq.ft
Chembur,2 BHK Apartment,42000,1000 sq.ft,Semi Furnished,2,2,1.0,650 sq.ft
Chembur,2 BHK Apartment,53900,950 sq.ft,Unfurnished,2,1,1.0,780 sq.ft
Chembur,1 BHK Apartment,39000,750 sq.ft,Semi Furnished,2,1,1.0,500 sq.ft
Chembur,3 BHK Apartment,69000,1800 sq.ft,Semi Furnished,2,2,2.0,1200 sq.ft
Chembur,1 BHK Apartment,32000,650 sq.ft,Semi Furnished,2,1,1.0,450 sq.ft
Chembur,3 BHK Apartment,76000,1890 sq.ft,Semi Furnished,3,2,2.0,1175 sq.ft
Chembur,2 BHK Apartment,50000,700 sq.ft,Semi Furnished,2,2,1.0,675 sq.ft
Chembur,3 BHK Apartment,68000,1400 sq.ft,Semi Furnished,2,1,1.0,1400 sq.ft
Chembur,2 BHK Apartment,44000,1200 sq.ft,Semi Furnished,2,1,1.0,800 sq.ft
Chembur,2 BHK Apartment,52000,1150 sq.ft,Semi Furnished,2,1,1.0,850 sq.ft
Chembur,1 BHK Apartment,32000,550 sq.ft,Semi Furnished,2,1,1.0,440 sq.ft
Chembur,2 BHK Apartment,39000,1050 sq.ft,Unfurnished,2,2,2.0,750 sq.ft
Chembur,2 BHK Apartment,40000,1060 sq.ft,Unfurnished,2,2,2.0,751 sq.ft
Chembur,2 BHK Apartment,38000,1040 sq.ft,Unfurnished,2,2,2.0,750 sq.ft
Chembur,2 BHK Apartment,38000,1040 sq.ft,Unfurnished,2,2,2.0,780 sq.ft
Chembur,2 BHK Apartment,39000,1050 sq.ft,Unfurnished,2,2,2.0,750 sq.ft
Chembur,2 BHK Apartment,34000,860 sq.ft,Unfurnished,2,2,2.0,660 sq.ft
Chembur,2 BHK Apartment,35000,900 sq.ft,Unfurnished,2,2,2.0,670 sq.ft
Chembur,3 BHK Apartment,51000,1340 sq.ft,Fully Furnished,3,3,2.0,1080 sq.ft
Chembur,3 BHK Apartment,52000,1350 sq.ft,Fully Furnished,3,3,2.0,1100 sq.ft
Chembur,3 BHK Apartment,52000,1350 sq.ft,Fully Furnished,3,3,2.0,1100 sq.ft
Chembur,2 BHK Apartment,33000,890 sq.ft,Unfurnished,2,2,2.0,660 sq.ft
Chembur,2 BHK Apartment,33000,890 sq.ft,Unfurnished,2,2,2.0,660 sq.ft
Chembur,2 BHK Apartment,34000,900 sq.ft,Unfurnished,2,2,2.0,670 sq.ft
Chembur,3 BHK Apartment,50000,1300 sq.ft,Fully Furnished,3,3,2.0,1040 sq.ft
Chembur,2 BHK Apartment,38000,1030 sq.ft,Unfurnished,2,2,1.0,715 sq.ft
Chembur,2 BHK Apartment,44000,1130 sq.ft,Semi Furnished,2,2,2.0,697 sq.ft
Chembur,2 BHK Apartment,44000,1130 sq.ft,Semi Furnished,2,2,2.0,697 sq.ft
Chembur,2 BHK Apartment,43000,1120 sq.ft,Semi Furnished,2,2,2.0,690 sq.ft
Chembur,2 BHK Apartment,43000,1120 sq.ft,Semi Furnished,2,2,2.0,690 sq.ft
Chembur,2 BHK Apartment,43000,1120 sq.ft,Semi Furnished,2,2,2.0,697 sq.ft
Chembur,2 BHK Apartment,44000,1130 sq.ft,Semi Furnished,2,2,2.0,700 sq.ft
Chembur,2 BHK Apartment,43000,1120 sq.ft,Semi Furnished,2,2,2.0,700 sq.ft
Chembur,2 BHK Apartment,43000,1130 sq.ft,Semi Furnished,2,2,2.0,690 sq.ft
Chembur,2 BHK Apartment,43000,1130 sq.ft,Semi Furnished,2,2,2.0,690 sq.ft
Chembur,2 BHK Apartment,44000,1120 sq.ft,Semi Furnished,2,2,2.0,697 sq.ft
Chembur,3 BHK Apartment,56000,1210 sq.ft,Fully Furnished,3,3,2.0,990 sq.ft
Chembur,2 BHK Apartment,36000,950 sq.ft,Unfurnished,2,2,2.0,690 sq.ft
Chembur,2 BHK Apartment,38000,970 sq.ft,Semi Furnished,2,2,2.0,751 sq.ft
Chembur,1 BHK Apartment,25000,625 sq.ft,Unfurnished,1,1,2.0,425 sq.ft
Chembur,1 BHK Apartment,28000,650 sq.ft,Unfurnished,1,1,2.0,450 sq.ft
Chembur,2 BHK Apartment,42000,1480 sq.ft,Unfurnished,2,2,2.0,714 sq.ft
Chembur,3 BHK Apartment,49000,1400 sq.ft,Unfurnished,2,2,2.0,980 sq.ft
Chembur,3 BHK Apartment,50000,1440 sq.ft,Fully Furnished,3,3,2.0,990 sq.ft
Chembur,2 BHK Apartment,43000,1180 sq.ft,Semi Furnished,2,2,2.0,780 sq.ft
Chembur,2 BHK Apartment,45000,1180 sq.ft,Semi Furnished,2,2,2.0,760 sq.ft
Chembur,2 BHK Apartment,35000,930 sq.ft,Unfurnished,2,2,2.0,670 sq.ft
Chembur,2 BHK Apartment,35000,940 sq.ft,Unfurnished,2,2,2.0,680 sq.ft
Chembur,2 BHK Apartment,36000,960 sq.ft,Unfurnished,2,2,2.0,697 sq.ft
Chembur,1 BHK Apartment,25000,625 sq.ft,Unfurnished,1,1,2.0,425 sq.ft
Chembur,2 BHK Apartment,43000,1280 sq.ft,Unfurnished,2,2,2.0,714 sq.ft
Chembur,2 BHK Apartment,44000,1300 sq.ft,Unfurnished,2,2,2.0,716 sq.ft
Chembur,2 BHK Apartment,44000,1300 sq.ft,Unfurnished,2,2,2.0,716 sq.ft
Chembur,3 BHK Apartment,48000,1400 sq.ft,Fully Furnished,3,3,2.0,980 sq.ft
Chembur,3 BHK Apartment,48000,1400 sq.ft,Fully Furnished,3,3,2.0,980 sq.ft
Chembur,2 BHK Apartment,44000,1180 sq.ft,Semi Furnished,2,2,2.0,790 sq.ft
Chembur,1 BHK Apartment,29000,600 sq.ft,Fully Furnished,1,1,2.0,400 sq.ft
Chembur,1 BHK Apartment,30000,610 sq.ft,Fully Furnished,1,1,2.0,410 sq.ft
Chembur,1 BHK Apartment,31000,615 sq.ft,Fully Furnished,1,1,2.0,415 sq.ft
Chembur,1 BHK Apartment,30000,610 sq.ft,Fully Furnished,1,1,2.0,410 sq.ft
Chembur,2 BHK Apartment,36000,860 sq.ft,Fully Furnished,2,2,2.0,630 sq.ft
Chembur,1 BHK Apartment,37000,870 sq.ft,Fully Furnished,1,1,2.0,750 sq.ft
Chembur,2 BHK Apartment,36000,910 sq.ft,Unfurnished,2,2,2.0,680 sq.ft
Chembur,2 BHK Apartment,36000,910 sq.ft,Unfurnished,2,2,2.0,680 sq.ft
Chembur,2 BHK Apartment,35000,850 sq.ft,Semi Furnished,2,2,2.0,660 sq.ft
Chembur,1 BHK Apartment,25000,610 sq.ft,Unfurnished,1,1,2.0,425 sq.ft
Chembur,1 BHK Apartment,26000,630 sq.ft,Unfurnished,1,1,2.0,430 sq.ft
Chembur,1 BHK Apartment,27000,630 sq.ft,Unfurnished,1,1,2.0,440 sq.ft
Chembur,2 BHK Apartment,35000,850 sq.ft,Semi Furnished,2,2,2.0,660 sq.ft
Chembur,2 BHK Apartment,37000,890 sq.ft,Semi Furnished,2,2,2.0,690 sq.ft
Chembur,1 BHK Apartment,24000,600 sq.ft,Unfurnished,1,1,2.0,400 sq.ft
Chembur,2 BHK Apartment,44000,1180 sq.ft,Semi Furnished,2,2,2.0,753 sq.ft
Chembur,2 BHK Apartment,32000,800 sq.ft,Unfurnished,2,2,2.0,630 sq.ft
Chembur,2 BHK Apartment,32000,800 sq.ft,Unfurnished,2,2,2.0,630 sq.ft
Chembur,2 BHK Apartment,33000,800 sq.ft,Unfurnished,2,2,2.0,630 sq.ft
Chembur,2 BHK Apartment,34000,810 sq.ft,Unfurnished,2,2,2.0,640 sq.ft
Chembur,2 BHK Apartment,42000,1180 sq.ft,Semi Furnished,2,2,2.0,750 sq.ft
Chembur,2 BHK Apartment,42000,1180 sq.ft,Semi Furnished,2,2,2.0,750 sq.ft
Chembur,2 BHK Apartment,43000,1180 sq.ft,Semi Furnished,2,2,2.0,751 sq.ft
Chembur,2 BHK Apartment,44000,1180 sq.ft,Semi Furnished,2,2,2.0,753 sq.ft
Chembur,2 BHK Apartment,40000,800 sq.ft,Fully Furnished,2,2,2.0,650 sq.ft
Chembur,2 BHK Apartment,41000,800 sq.ft,Fully Furnished,2,2,2.0,660 sq.ft
Chembur,2 BHK Apartment,33000,810 sq.ft,Unfurnished,2,2,2.0,640 sq.ft
Chembur,2 BHK Apartment,34000,810 sq.ft,Unfurnished,2,2,2.0,640 sq.ft
Chembur,2 BHK Apartment,37000,1050 sq.ft,Semi Furnished,2,Missing,1.0,Missing
Chembur,3 BHK Apartment,78000,1550 sq.ft,Semi Furnished,2,Missing,1.0,1200 sq.ft
Chembur,3 BHK Apartment,65000,1360 sq.ft,Semi Furnished,3,Missing,1.0,1000 sq.ft
Chembur,1 BHK Apartment,37000,690 sq.ft,Fully Furnished,1,Missing,1.0,500 sq.ft
Chembur,1 BHK Apartment,30000,580 sq.ft,Unfurnished,1,Missing,1.0,420 sq.ft
Chembur,2 BHK Apartment,38000,800 sq.ft,Unfurnished,2,4,1.0,600 sq.ft
Chembur,1 BHK Apartment,25000,460 sq.ft,Fully Furnished,1,Missing,1.0,370 sq.ft
Chembur,1 BHK Apartment,43000,760 sq.ft,Fully Furnished,1,Missing,1.0,603 sq.ft
Chembur,1 BHK Apartment,25000,400 sq.ft,Semi Furnished,2,1,1.0,350 sq.ft
Chembur,3 BHK Apartment,75000,1303 sq.ft,Semi Furnished,3,2,2.0,924 sq.ft
Chembur,3 BHK Apartment,54000,1500 sq.ft,Semi Furnished,3,2,2.0,1200 sq.ft
Chembur,2 BHK Apartment,50000,1120 sq.ft,Fully Furnished,2,Missing,1.0,1050 sq.ft
Chembur,1 BHK Apartment,30000,560 sq.ft,Unfurnished,1,Missing,1.0,430 sq.ft
Chembur,2 BHK Apartment,55000,800 sq.ft,Fully Furnished,2,Missing,1.0,750 sq.ft
Chembur,1 BHK Apartment,40000,590 sq.ft,Fully Furnished,1,Missing,1.0,460 sq.ft
