Locality,Type,Rent/Month,Build_up_area(sq.ft),Furnishing,Bathrooms,Balcony,Parking,Carpet_area(sq.ft)
Andheri,1 BHK Apartment,31000,500 sq.ft,Unfurnished,2,Missing,1.0,415 sq.ft
Andheri,1 RK Apartment,12000,280 sq.ft,Unfurnished,1,Missing,0.0,250 sq.ft
Andheri,3 BHK Apartment,55000,1400 sq.ft,Semi Furnished,3,Missing,1.0,Missing
Andheri,2 BHK Apartment,75000,1250 sq.ft,Fully Furnished,2,2,1.0,950 sq.ft
Andheri,3 BHK Apartment,75000,1600 sq.ft,Fully Furnished,3,3,2.0,1300 sq.ft
Andheri,3 BHK Apartment,80000,1550 sq.ft,Semi Furnished,3,2,2.0,1235 sq.ft
Andheri,2 BHK Apartment,41000,890 sq.ft,Semi Furnished,2,Missing,2.0,685 sq.ft
Andheri,2 BHK Apartment,45000,950 sq.ft,Semi Furnished,2,Missing,1.0,750 sq.ft
Andheri,1 RK Apartment,11500,275 sq.ft,Semi Furnished,1,Missing,0.0,225 sq.ft
Andheri,2 BHK Apartment,42000,1050 sq.ft,Semi Furnished,2,Missing,1.0,580 sq.ft
Andheri,1 RK Apartment,16000,400 sq.ft,Unfurnished,2,Missing,0.0,300 sq.ft
Andheri,3 BHK Apartment,65000,1200 sq.ft,Semi Furnished,3,Missing,1.0,950 sq.ft
Andheri,1 BHK Apartment,60000,600 sq.ft,Fully Furnished,2,1,1.0,Missing
Andheri,1 BHK Apartment,24000,900 sq.ft,Unfurnished,1,Missing,1.0,650 sq.ft
Andheri,2 BHK Apartment,50000,1000 sq.ft,Semi Furnished,2,2,1.0,900 sq.ft
Andheri,3 BHK Apartment,75000,1750 sq.ft,Fully Furnished,2,2,2.0,1200 sq.ft
Andheri,1 BHK Apartment,19000,300 sq.ft,Fully Furnished,1,1,1.0,250 sq.ft
Andheri,3 BHK Apartment,85000,1295 sq.ft,Semi Furnished,2,1,1.0,997 sq.ft
Andheri,1 BHK Apartment,13000,350 sq.ft,Unfurnished,1,1,2.0,270 sq.ft
Andheri,3 BHK Apartment,118000,1500 sq.ft,Fully Furnished,3,3,2.0,1200 sq.ft
Andheri,3 BHK Apartment,65000,1450 sq.ft,Semi Furnished,3,1,1.0,950 sq.ft
Andheri,3 BHK Apartment,70000,1244 sq.ft,Semi Furnished,2,Missing,1.0,1042 sq.ft
Andheri,2 BHK Apartment,38000,900 sq.ft,Unfurnished,2,1,0.0,700 sq.ft
Andheri,2 BHK Apartment,35600,900 sq.ft,Semi Furnished,2,Missing,1.0,Missing
Andheri,2 BHK Apartment,40000,720 sq.ft,Semi Furnished,2,Missing,1.0,600 sq.ft
